Name,Gender,Nationality,Location,Age,School year,Study hours,Family financial status,Family size,Parents education,School distance to house,Dropped subject,Failed subject,Love of subject,1st_year_grade_1st_sem,1st_year_grade_2nd_sem,2nd_year_grade_1st_sem,2nd_year_grade_2nd_sem,3rd_year_grade_1st_sem,3rd_year_grade_2nd_sem,G11_grade,G12_grade,Class
NRPRD,M,CANADIAN,Butuan City,19,fifth year,10,above average,medium,one educated,8km-10km,3,3,INTEREST,3.0,2.5,2.75,1.5,2.25,1.75,90,93,M
NGMBB,F,ENGLISH,Toronto,24,fourth year,6,average,small,both educated,10km-12km,3,2,OWN,2.75,1.0,1.5,1.0,1.0,2.75,72,78,L
ABBMI,F,CANADIAN,Butuan City,25,fourth year,10,above average,large,none educated,15km-18km,2,3,INTEREST,2.25,2.0,3.0,2.0,1.5,1.75,77,68,M
WAYHU,M,CANADIAN,Butuan City,19,second year,9,above average,large,none educated,8km-10km,1,1,RECOMMENDED,1.0,2.75,2.5,1.75,2.0,3.0,96,86,L
JYEDU,F,CANADIAN,Madrid,19,fourth year,10,average,small,one educated,10km-12km,3,3,OWN,5.0,1.5,1.0,1.0,1.0,1.0,95,83,M
DSAWT,M,FILIPINO,Butuan City,19,third year,12,below average,medium,none educated,5km-7km,1,2,RECOMMENDED,3.0,2.5,2.75,1.25,1.25,2.75,87,63,L
LFTOG,M,ENGLISH,London,19,first year,9,below average,small,both educated,15km-18km,3,1,OWN,1.75,2.0,2.75,2.25,2.5,2.75,79,81,H
KWNJE,M,ENGLISH,Butuan City,18,fourth year,10,average,large,both educated,5km-7km,1,0,OWN,3.0,1.5,1.0,1.0,1.0,2.75,94,77,H
UQICA,M,FILIPINO,Butuan City,23,second year,10,average,large,one educated,8km-10km,3,3,INTEREST,2.5,2.25,1.0,2.25,3.0,5.0,90,87,M
QTNFE,F,CANADIAN,Butuan City,18,fourth year,11,average,medium,one educated,10km-12km,2,2,INTEREST,1.25,2.0,3.0,1.25,2.25,2.5,78,94,H
SBIHO,F,AMERICAN,New York,23,fourth year,6,below average,medium,one educated,12km-15km,2,0,RECOMMENDED,2.0,2.25,3.0,2.5,2.25,2.25,99,90,H
EIONT,M,FILIPINO,Madrid,18,fourth year,10,below average,medium,none educated,10km-12km,0,2,INTEREST,1.0,2.5,1.25,1.5,3.0,1.25,82,69,L
HPXLD,M,ENGLISH,London,23,second year,8,average,small,both educated,8km-10km,3,1,INTEREST,2.5,1.75,2.25,2.0,2.75,2.0,78,65,L
BIQKI,M,SPANISH,Butuan City,20,second year,5,below average,small,one educated,8km-10km,1,1,INTEREST,1.5,2.75,2.75,2.75,5.0,2.5,74,76,H
PUZSC,F,AMERICAN,Madrid,19,second year,6,average,large,none educated,12km-15km,2,3,OWN,1.75,2.75,2.75,1.25,5.0,2.5,84,84,M
SUKBN,M,CANADIAN,Toronto,22,third year,11,above average,medium,one educated,12km-15km,4,1,INTEREST,1.25,2.75,1.75,2.5,2.0,2.25,96,79,L
HWTPB,M,ENGLISH,London,20,fifth year,5,above average,small,none educated,15km-18km,1,2,INTEREST,2.5,5.0,1.0,2.0,2.0,2.25,75,86,M
NCKQP,M,CANADIAN,New York,25,fourth year,12,below average,large,one educated,10km-12km,4,0,OWN,1.5,2.75,3.0,2.5,2.75,2.5,94,60,M
OCGKV,M,ENGLISH,Madrid,22,second year,7,average,large,one educated,5km-7km,4,2,OWN,1.25,1.5,2.25,1.0,1.25,1.25,88,84,L
BRGOP,F,SPANISH,New York,19,first year,6,average,large,one educated,12km-15km,4,3,INTEREST,5.0,2.5,2.5,2.75,2.5,2.25,75,77,L
MCXSL,F,AMERICAN,Butuan City,22,fourth year,8,below average,large,both educated,12km-15km,3,0,OWN,2.75,2.25,2.75,1.0,2.0,2.5,99,92,H
WCKMH,M,FILIPINO,Butuan City,19,first year,11,below average,large,both educated,15km-18km,3,3,RECOMMENDED,5.0,2.25,3.0,1.75,2.0,1.5,95,64,H
HBUFN,M,AMERICAN,Butuan City,24,fourth year,12,below average,medium,none educated,8km-10km,1,1,INTEREST,1.75,1.0,1.75,1.5,1.5,1.5,75,95,H
KIJNJ,F,ENGLISH,London,18,first year,5,below average,medium,one educated,8km-10km,0,2,INTEREST,1.0,1.25,1.5,1.75,2.25,1.75,70,79,L
HEAHR,M,AMERICAN,London,22,second year,12,average,small,none educated,8km-10km,2,3,INTEREST,5.0,2.0,2.75,1.25,5.0,3.0,96,95,H
PUXMD,M,FILIPINO,London,24,fifth year,7,below average,medium,none educated,15km-18km,4,2,INTEREST,3.0,2.5,1.75,3.0,2.0,1.25,90,85,L
LVVXJ,F,SPANISH,Madrid,20,first year,8,average,medium,both educated,12km-15km,1,2,INTEREST,2.75,1.5,1.5,2.75,1.5,1.25,81,84,H
SHTXB,F,AMERICAN,Madrid,25,first year,5,average,medium,none educated,8km-10km,4,0,OWN,2.25,2.5,3.0,5.0,2.5,1.5,89,80,L
CCOKQ,F,SPANISH,Butuan City,24,fourth year,11,above average,medium,none educated,5km-7km,2,2,INTEREST,2.25,2.0,1.0,1.25,5.0,1.25,79,63,M
JWOJO,M,CANADIAN,Butuan City,25,fifth year,9,average,small,both educated,15km-18km,0,2,OWN,1.0,1.25,3.0,5.0,3.0,3.0,89,91,H
NORSQ,F,ENGLISH,New York,24,second year,5,average,medium,one educated,15km-18km,2,2,OWN,1.5,2.75,1.25,1.75,3.0,2.75,100,90,L
INPOL,M,SPANISH,London,19,third year,6,average,large,one educated,8km-10km,1,0,RECOMMENDED,2.0,1.75,1.5,1.0,5.0,1.75,99,69,L
GWUJP,F,FILIPINO,Butuan City,19,third year,5,average,small,one educated,5km-7km,4,3,RECOMMENDED,3.0,1.0,1.25,1.5,1.5,2.0,79,62,L
ILQYU,F,CANADIAN,New York,25,fourth year,11,below average,medium,both educated,12km-15km,0,0,OWN,5.0,1.5,1.0,1.25,1.0,5.0,74,82,M
GKEOF,M,SPANISH,New York,18,second year,5,below average,small,none educated,15km-18km,0,0,INTEREST,2.25,1.75,5.0,1.25,5.0,5.0,71,71,H
GKNDA,F,SPANISH,Madrid,23,third year,9,below average,small,none educated,15km-18km,0,3,RECOMMENDED,3.0,1.25,1.75,1.75,2.5,3.0,76,69,M
VNTFU,M,SPANISH,Butuan City,19,third year,9,average,small,one educated,8km-10km,3,2,INTEREST,2.25,1.5,1.5,1.5,1.0,3.0,96,94,L
KPIOV,F,ENGLISH,London,21,fifth year,8,average,large,one educated,10km-12km,2,3,INTEREST,2.0,2.75,3.0,1.75,2.75,1.25,85,68,M
WYSGH,M,CANADIAN,Toronto,23,fourth year,5,above average,medium,none educated,10km-12km,0,3,OWN,5.0,2.25,3.0,2.0,1.75,2.75,89,66,M
DEMKR,F,SPANISH,New York,23,fourth year,9,above average,medium,one educated,12km-15km,0,3,OWN,1.25,1.5,2.5,1.5,3.0,1.5,91,88,L
FNLUR,F,CANADIAN,New York,19,fifth year,5,above average,large,both educated,10km-12km,2,2,OWN,2.0,2.0,2.0,2.0,2.5,2.25,89,75,L
JZPPA,M,AMERICAN,Butuan City,23,second year,7,below average,medium,both educated,8km-10km,4,1,OWN,1.75,2.0,2.0,5.0,1.0,2.5,88,69,M
UIKYO,M,ENGLISH,Butuan City,18,fourth year,5,average,medium,both educated,5km-7km,4,3,OWN,2.75,5.0,1.5,1.5,5.0,5.0,82,85,L
GWAKN,F,CANADIAN,Butuan City,21,first year,8,above average,small,one educated,15km-18km,2,1,OWN,2.0,5.0,2.75,3.0,2.25,2.0,70,78,H
FKMMM,M,CANADIAN,London,23,fourth year,9,average,small,one educated,15km-18km,3,3,RECOMMENDED,1.75,1.5,2.0,1.5,2.5,1.75,81,84,M
SVMDO,F,FILIPINO,Madrid,21,first year,10,average,medium,both educated,8km-10km,1,1,INTEREST,5.0,1.0,1.5,3.0,5.0,3.0,92,83,L
XAVZV,M,CANADIAN,New York,24,second year,12,average,large,none educated,10km-12km,2,2,OWN,1.25,2.25,5.0,5.0,1.75,1.25,85,74,M
ZTUCC,M,FILIPINO,New York,25,first year,8,above average,small,both educated,5km-7km,0,0,RECOMMENDED,2.75,2.25,1.0,1.0,5.0,2.0,76,81,M
POMHQ,M,FILIPINO,Madrid,20,fourth year,8,below average,small,none educated,5km-7km,0,1,INTEREST,3.0,2.25,1.75,1.0,1.0,2.0,84,91,H
VAIMV,M,ENGLISH,London,22,first year,5,average,medium,one educated,8km-10km,1,0,INTEREST,1.75,1.75,1.5,2.0,1.5,1.5,88,62,M
WINUG,F,SPANISH,New York,20,third year,7,above average,medium,none educated,10km-12km,2,3,OWN,1.0,3.0,2.25,1.0,2.5,2.75,81,79,M
LRAOZ,M,SPANISH,London,20,second year,12,above average,small,one educated,10km-12km,4,0,RECOMMENDED,2.75,1.0,5.0,1.25,3.0,1.75,77,75,M
UJNSY,M,ENGLISH,London,18,second year,5,below average,small,both educated,8km-10km,1,2,INTEREST,2.0,5.0,2.0,1.0,5.0,3.0,91,93,H
CWGIC,F,ENGLISH,Toronto,20,fourth year,5,above average,small,none educated,5km-7km,3,3,INTEREST,1.0,1.0,3.0,1.75,2.5,2.0,91,74,H
GXPXA,M,SPANISH,Butuan City,18,second year,8,below average,large,both educated,12km-15km,4,2,OWN,2.5,1.75,2.75,2.75,1.5,2.25,71,72,M
OVLHC,F,SPANISH,Madrid,25,fourth year,9,average,small,none educated,8km-10km,2,1,INTEREST,1.75,1.25,1.25,2.5,2.75,1.25,76,81,H
RFDBP,F,ENGLISH,Toronto,21,second year,7,above average,small,both educated,12km-15km,4,0,RECOMMENDED,3.0,5.0,2.25,1.5,2.0,5.0,74,62,H
ZIWTH,M,AMERICAN,Toronto,18,second year,6,average,large,one educated,5km-7km,4,3,INTEREST,1.5,3.0,2.25,2.75,2.75,2.25,81,88,H
JVLZI,F,CANADIAN,New York,25,first year,7,average,small,both educated,8km-10km,4,1,INTEREST,2.25,2.25,1.75,1.75,3.0,1.75,83,71,L
UUTLU,M,FILIPINO,Madrid,19,second year,9,below average,medium,one educated,5km-7km,3,3,OWN,2.75,1.0,2.75,2.75,1.25,2.0,89,79,L
PVRPY,M,FILIPINO,Toronto,18,first year,7,below average,small,both educated,5km-7km,0,3,INTEREST,1.25,1.0,2.25,2.75,3.0,2.0,94,69,M
VLUMK,F,ENGLISH,New York,24,fourth year,10,average,large,one educated,5km-7km,3,0,INTEREST,2.25,3.0,3.0,2.0,1.75,3.0,90,81,L
EVEWH,F,AMERICAN,Toronto,22,second year,9,above average,large,one educated,12km-15km,0,1,INTEREST,2.0,2.0,2.5,2.25,2.25,5.0,79,86,M
WWENQ,M,CANADIAN,Butuan City,18,fifth year,11,below average,large,one educated,10km-12km,3,3,RECOMMENDED,2.25,2.25,2.75,1.5,5.0,1.25,84,61,H
GAEIT,M,ENGLISH,Butuan City,22,second year,5,below average,medium,none educated,8km-10km,1,2,RECOMMENDED,2.0,1.75,2.5,1.5,1.25,1.0,74,95,L
VIQYC,M,CANADIAN,London,23,second year,5,above average,large,both educated,5km-7km,2,1,RECOMMENDED,3.0,1.5,1.5,1.5,1.0,1.25,71,68,H
HIKBS,M,ENGLISH,New York,19,fifth year,9,below average,large,one educated,8km-10km,1,3,INTEREST,2.25,2.75,2.0,1.75,1.5,1.5,70,66,M
IKDTX,M,CANADIAN,London,20,fourth year,10,below average,large,one educated,15km-18km,2,2,OWN,2.75,2.75,1.0,1.0,2.25,2.25,80,72,H
MFFAR,M,ENGLISH,Toronto,23,fifth year,10,average,medium,none educated,10km-12km,2,2,INTEREST,5.0,5.0,2.5,1.5,2.75,2.25,82,84,L
TBHKG,F,SPANISH,London,21,third year,6,above average,small,both educated,8km-10km,4,2,RECOMMENDED,2.5,5.0,1.25,2.25,1.5,2.25,78,85,L
PJBPW,F,FILIPINO,New York,25,third year,7,above average,large,none educated,5km-7km,2,1,RECOMMENDED,2.5,1.25,1.5,1.75,2.25,3.0,86,77,L
AOGSQ,F,SPANISH,London,19,fifth year,5,above average,medium,both educated,15km-18km,2,2,INTEREST,3.0,1.25,1.75,1.5,2.0,1.0,74,73,M
QASHR,M,ENGLISH,Toronto,23,fifth year,9,average,medium,one educated,12km-15km,0,0,OWN,3.0,1.5,1.0,1.75,2.25,2.0,74,80,H
OFQVX,M,CANADIAN,New York,23,first year,10,below average,small,none educated,12km-15km,2,3,RECOMMENDED,1.75,1.0,1.25,1.75,1.5,2.5,91,75,H
PMZOJ,F,CANADIAN,New York,22,fourth year,12,above average,medium,none educated,8km-10km,1,1,RECOMMENDED,2.0,2.75,2.75,2.0,1.0,1.5,88,74,L
DLEJW,F,AMERICAN,Madrid,20,first year,8,below average,medium,both educated,5km-7km,0,2,OWN,5.0,3.0,5.0,2.25,2.75,3.0,85,67,H
KSSRW,M,SPANISH,London,20,first year,9,average,medium,one educated,5km-7km,3,0,INTEREST,2.75,2.5,1.25,2.25,2.5,2.75,79,78,H
PRCDE,F,ENGLISH,Madrid,19,third year,9,average,small,both educated,5km-7km,1,1,OWN,2.75,5.0,1.75,2.5,1.0,1.5,85,90,M
QJDHL,F,FILIPINO,Toronto,25,first year,6,average,medium,both educated,12km-15km,1,3,OWN,5.0,2.0,1.25,1.75,1.75,1.75,83,82,M
SNPNI,F,ENGLISH,London,25,third year,5,below average,medium,one educated,12km-15km,0,1,RECOMMENDED,1.25,2.5,1.25,2.25,2.75,1.5,89,89,L
ARXGL,F,AMERICAN,London,25,second year,11,average,small,both educated,8km-10km,2,0,RECOMMENDED,1.0,2.75,5.0,5.0,1.75,3.0,84,92,L
WOFSL,M,CANADIAN,Madrid,22,fifth year,5,average,medium,both educated,12km-15km,1,1,OWN,2.25,1.0,1.5,2.5,5.0,5.0,76,68,M
BVARN,M,SPANISH,New York,20,first year,8,above average,large,one educated,12km-15km,0,3,OWN,2.0,1.75,1.25,2.0,3.0,1.75,93,89,H
LPCZS,M,ENGLISH,Toronto,25,fifth year,10,below average,large,one educated,5km-7km,3,2,INTEREST,1.0,1.25,5.0,2.5,1.5,2.75,92,80,M
VZFME,F,SPANISH,Butuan City,20,first year,5,below average,large,one educated,10km-12km,2,3,RECOMMENDED,1.25,2.0,1.75,3.0,1.0,3.0,100,77,M
EAEBD,M,CANADIAN,London,23,fifth year,6,above average,large,none educated,5km-7km,1,0,INTEREST,2.5,2.25,1.75,2.25,1.75,1.0,97,90,L
PJCGL,M,AMERICAN,Butuan City,23,third year,6,above average,large,one educated,12km-15km,2,2,INTEREST,5.0,1.0,2.75,5.0,1.75,2.5,84,72,M
WTFLZ,F,AMERICAN,Madrid,21,third year,11,below average,large,one educated,15km-18km,0,1,OWN,1.25,3.0,1.5,2.25,1.5,5.0,82,91,H
QRMIQ,M,FILIPINO,London,23,fifth year,12,below average,small,none educated,5km-7km,3,3,INTEREST,1.25,2.0,2.5,1.0,2.5,2.5,80,79,M
QYKAO,F,FILIPINO,Madrid,21,second year,11,below average,medium,one educated,12km-15km,4,1,RECOMMENDED,2.5,1.5,5.0,2.0,1.25,2.5,97,94,H
